Iteracija = 76 : 0, sig: 0,  h1=1.5126329331187598 h2=1.6722377436474996 trosak=40
Iteracija = 64 : 0, sig: 0,  h1=7.521417246325537 h2=-1.2715533493652167 trosak=95
Iteracija = 138 : 0, sig: 0,  h1=10.0 h2=-0.9250078295651678 trosak=90
Iteracija = 101 : 0, sig: 0,  h1=10.0 h2=-4.927570034221897 trosak=157
Iteracija = 103 : 0, sig: 0,  h1=5.670914189212873 h2=0.9025698158421214 trosak=58
Iteracija = 72 : 0, sig: 0,  h1=5.1637905187850475 h2=-3.546449369481548 trosak=41
Iteracija = 84 : 0, sig: 0,  h1=10.0 h2=2.7470607859042753 trosak=118
Iteracija = 57 : 0, sig: 0,  h1=6.0529412949913235 h2=1.096378375019121 trosak=37
Iteracija = 108 : 0, sig: 0,  h1=10.0 h2=-1.3117686146413963 trosak=108
Iteracija = 228 : 0, sig: 0,  h1=10.0 h2=1.926773950967891 trosak=80
Iteracija = 89 : 0, sig: 1,  h1=2.148371515998714 h2=-0.15449581478058305 trosak=44
Iteracija = 117 : 0, sig: 1,  h1=10.0 h2=-4.150816092828396 trosak=126
Iteracija = 55 : 0, sig: 1,  h1=5.640287271820357 h2=-0.7432978704471731 trosak=38
Iteracija = 66 : 0, sig: 1,  h1=0.7892948413639409 h2=3.1252738233876842 trosak=41
Iteracija = 85 : 0, sig: 1,  h1=2.2781570631579466 h2=-7.812608314534355 trosak=42
Iteracija = 71 : 0, sig: 1,  h1=4.800541702856418 h2=-0.06669458357952596 trosak=43
Iteracija = 108 : 0, sig: 1,  h1=4.870529780131906 h2=1.579846928892387 trosak=45
Iteracija = 154 : 0, sig: 1,  h1=10.0 h2=6.744921632999546 trosak=118
Iteracija = 63 : 0, sig: 1,  h1=10.0 h2=-2.947917701271008 trosak=114
Iteracija = 96 : 0, sig: 1,  h1=10.0 h2=0.2660449847040971 trosak=90
Iteracija = 57 : 0, sig: 2,  h1=10.0 h2=5.139270223380376 trosak=88
Iteracija = 117 : 0, sig: 2,  h1=10.0 h2=-7.992530060825363 trosak=97
Iteracija = 51 : 0, sig: 2,  h1=1.5272173961087387 h2=0.34777294052255137 trosak=40
Iteracija = 96 : 0, sig: 2,  h1=10.0 h2=1.0526343179589541 trosak=104
Iteracija = 118 : 0, sig: 2,  h1=10.0 h2=6.467255221780696 trosak=87
Iteracija = 59 : 0, sig: 2,  h1=1.9424568228331314 h2=7.18481296796759 trosak=41
Iteracija = 84 : 0, sig: 2,  h1=10.0 h2=-20.222706617019224 trosak=124
Iteracija = 102 : 0, sig: 2,  h1=8.808322572161423 h2=-5.153975296122221 trosak=96
Iteracija = 125 : 0, sig: 2,  h1=10.0 h2=-23.73081575327664 trosak=89
Iteracija = 115 : 0, sig: 2,  h1=10.0 h2=-4.260776701590372 trosak=101
Iteracija = 129 : 1, sig: 0,  h1=10.0 h2=-3.904353455821573 trosak=167
Iteracija = 57 : 1, sig: 0,  h1=1.5699425026145457 h2=-3.33608195655811 trosak=41
Iteracija = 68 : 1, sig: 0,  h1=5.220308686863884 h2=0.14460068155919192 trosak=43
Iteracija = 60 : 1, sig: 0,  h1=5.03446663592552 h2=-1.7939462482789428 trosak=56
Iteracija = 60 : 1, sig: 0,  h1=9.603496717983813 h2=-5.021657971185329 trosak=87
Iteracija = 254 : 1, sig: 0,  h1=10.0 h2=-0.9408434399999726 trosak=110
Iteracija = 78 : 1, sig: 0,  h1=7.360482313719061 h2=-0.9890307291816182 trosak=69
Iteracija = 123 : 1, sig: 0,  h1=9.358325171856592 h2=-4.745769749921414 trosak=89
Iteracija = 109 : 1, sig: 0,  h1=3.1597389599052166 h2=1.2672726851747766 trosak=42
Iteracija = 214 : 1, sig: 0,  h1=10.0 h2=-16.610993580872787 trosak=98
Iteracija = 135 : 1, sig: 1,  h1=10.0 h2=-9.651935022462794 trosak=114
Iteracija = 66 : 1, sig: 1,  h1=10.0 h2=1.2195223562167463 trosak=142
Iteracija = 107 : 1, sig: 1,  h1=10.0 h2=-3.0558705059713 trosak=90
Iteracija = 67 : 1, sig: 1,  h1=1.4918255530036297 h2=-4.159300113711321 trosak=42
Iteracija = 81 : 1, sig: 1,  h1=10.0 h2=1.2394933328641329 trosak=111
Iteracija = 121 : 1, sig: 1,  h1=10.0 h2=-3.2918731956046376 trosak=96
Iteracija = 108 : 1, sig: 1,  h1=10.0 h2=-5.742480449267876 trosak=114
Iteracija = 53 : 1, sig: 1,  h1=3.520562878749888 h2=0.41683839902771236 trosak=42
Iteracija = 131 : 1, sig: 1,  h1=10.0 h2=-5.241357001585353 trosak=94
